Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
"Universität Zürich, ZORA",ethz.zora,ethz,ethzco,10000,40%,6%,11%,0%,15%,15%,0%,,,,
Infoclio,ethz.infoclio,ethz,ethzco,411,42%,6%,8%,0%,15%,15%,0%,,,,
CORSSA - Community Online Resource for Statistical Seismicity Analysis,ethz.corssa,ethz,ethzco,17,40%,5%,11%,0%,15%,15%,0%,,,,
LIVES Working Paper Series,ethz.lives,ethz,ethzco,124,40%,6%,10%,0%,14%,14%,0%,,,,
Historia Iuris/UZH,ethz.historiaiuris,ethz,ethzco,77,41%,6%,6%,0%,14%,14%,0%,,,,
Ancilla Iuris,ethz.zhaw-aniuris,ethz,ethzco,51,40%,6%,6%,0%,13%,13%,0%,,,,
OER,acpw.ayegvk,acpw,ethzco,1348,41%,0%,6%,0%,12%,12%,0%,,,,
bsc,bsccns.bsstos,bsccns,eudatco,29,65%,40%,36%,10%,40%,,,,,,
Revista de Investigación Marina (RIM),fgff.rim,fgff,eudatco,1,67%,44%,6%,0%,31%,30%,2%,,,,
National Geoinformation Center,niggg.ngic,niggg,eudatco,341,72%,25%,11%,0%,28%,28%,0%,,,,
Digital Sample Freezing Platform,ysei.dsfp,ysei,eudatco,3,58%,28%,15%,3%,27%,27%,0%,,,,
FECYT,ndzg.svfngs,ndzg,eudatco,28,47%,37%,8%,3%,25%,25%,0%,,,,
AZTI,fgff.prbhui,fgff,eudatco,17,61%,27%,6%,0%,25%,24%,0%,,,,
CNDP Datasets,penq.cndp-data,penq,eudatco,201,43%,31%,8%,4%,23%,21%,2%,,,,
OficinaC,ndzg.vtadso,ndzg,eudatco,30,40%,20%,11%,9%,20%,21%,0%,,,,
CDI B2Share,csc.csceudat,csc,eudatco,10000,53%,6%,17%,0%,20%,20%,0%,,,,
NAU - Plataforma de Educação Aberta,ivuw.nau,ivuw,fctco,5,73%,72%,17%,10%,46%,,,,,,
AGORA,ivuw.criaagora,ivuw,fctco,32,54%,58%,12%,13%,36%,36%,0%,,,,
AIBILI Dataverse Repository,ivuw.aibili,ivuw,fctco,3,60%,22%,33%,10%,33%,,,,,,
IPMA - Instituto Português do Mar e da Atmosfera,ivuw.ipma,ivuw,fctco,9,74%,35%,12%,0%,32%,33%,-1%,,,,
Revista de Ciência Aberta Lusófona,ivuw.recal,ivuw,fctco,36,60%,41%,11%,10%,32%,,,,,,
Universidade de Lisboa / Instituto de Ciências Sociais,qwbt.ulisboa-ics,qwbt,fctco,4,57%,54%,6%,0%,32%,,,,,,
UNL.NOVASBE,dfkv.qxhckn,dfkv,fctco,29,69%,24%,20%,10%,32%,31%,0%,,,,
CIDEHUS Digital,iohr.cidehus-dig,iohr,fctco,78,60%,39%,11%,10%,31%,31%,0%,,,,
Hidrográfico+,ivuw.ihdro,ivuw,fctco,8,59%,38%,11%,10%,31%,,,,,,
Universidade de Lisboa / Instituto Superior Técnico,qwbt.ulisboa-ist,qwbt,fctco,8,49%,53%,6%,0%,29%,28%,1%,,,,
Repositório  da Escola Superior Artística do Porto,ivuw.esap,ivuw,fctco,11,56%,45%,7%,2%,29%,29%,0%,,,,
Reposit�rio Comum,fct.rcomum,fct,fctco,7,51%,38%,12%,10%,29%,29%,0%,,,,
Imprensa da Universidade de Évora,iohr.imprensa-ue,iohr,fctco,11,52%,43%,8%,3%,28%,28%,0%,,,,
Orthopaedic SPOT,ivuw.spot,ivuw,fctco,31,57%,27%,11%,10%,27%,,,,,,
Portuguese Kidney Journal (PKJ),ivuw.pkj,ivuw,fctco,75,57%,26%,11%,10%,27%,27%,0%,,,,
RL Letras,xvkwutad.ygzohy,xvkwutad,fctco,98,50%,27%,16%,10%,27%,26%,0%,,,,
THORAC (Thoracic Cancer Journal),ivuw.tcj,ivuw,fctco,15,55%,28%,11%,10%,27%,,,,,,
Repositório do Politécnico de Lisboa,fct.iplisboa,fct,fctco,811,54%,23%,14%,10%,26%,26%,0%,,,,
Repositório IPVC,ivuw.ipvc,ivuw,fctco,151,47%,41%,8%,0%,26%,26%,0%,,,,
Boletim do CPGP,ivuw.cpgp,ivuw,fctco,55,45%,44%,6%,0%,26%,,,,,,
Universidade do Porto,fct.uporto,fct,fctco,10000,51%,34%,11%,0%,26%,21%,4%,,,,
Repositório Científico do Instituto Politécnico de Viseu,fct.ipv,fct,fctco,67,51%,35%,8%,3%,26%,26%,0%,,,,
SPMI CASE REPORTS,ivuw.spmicr,ivuw,fctco,150,58%,21%,11%,10%,25%,25%,0%,,,,
REVSTAT-Statistical Journal,ivuw.revstat,ivuw,fctco,549,49%,23%,16%,10%,25%,24%,1%,,,,
ONCO.NEWS,ivuw.onco,ivuw,fctco,227,48%,23%,16%,10%,25%,25%,0%,,,,
Tourism and Hospitality International Journal,ivuw.thij,ivuw,fctco,277,47%,22%,17%,10%,25%,24%,0%,,,,
CIDEHUS Geral,iohr.cidehus-geral,iohr,fctco,188,47%,39%,6%,0%,24%,24%,0%,,,,
Instituto Politécnico de Leiria,fct.ipleir,fct,fctco,187,48%,37%,6%,0%,24%,24%,1%,,,,
Saúde & Tecnologia,fct.st,fct,fctco,248,49%,21%,16%,9%,24%,24%,0%,,,,
Revista Portuguesa de Farmacoterapia,fct.rpf,fct,fctco,272,47%,21%,17%,10%,24%,24%,0%,,,,
RC-ESEP,ivuw.esep,ivuw,fctco,193,51%,33%,6%,1%,24%,24%,1%,,,,
LC-Portuguese Journal of Cardiac Thoracic and Vascular Surgery,ivuw.spcctv,ivuw,fctco,437,45%,22%,16%,10%,24%,24%,0%,,,,
Anais de História de Além-Mar,ivuw.whsnqq,ivuw,fctco,181,44%,22%,17%,10%,24%,24%,0%,,,,
Revista Ibero-Americana de Saúde e Envelhecimento (RIASE),iohr.revista-riase,iohr,fctco,134,46%,21%,16%,10%,24%,24%,0%,,,,
Cadernos do Arquivo Municipal,ivuw.cam,ivuw,fctco,362,45%,22%,16%,9%,24%,24%,0%,,,,
DOIUC,ksmm.lvcqdn,ksmm,fctco,77,47%,36%,6%,0%,24%,24%,0%,,,,
Revista da Sociedade Portuguesa de Medicina Física e de Reabilitação,fct.spmfr,fct,fctco,301,51%,22%,13%,5%,24%,24%,0%,,,,
Medicina Interna,ivuw.rpmi,ivuw,fctco,726,44%,22%,16%,10%,24%,24%,0%,,,,
ESEL - Escola Superior de Enfermagem de Lisboa,ivuw.esel,ivuw,fctco,69,43%,39%,6%,0%,24%,28%,-4%,,,,
Instituto Politécnico de Portalegre,ivuw.ipptlgre,ivuw,fctco,214,51%,22%,13%,4%,24%,23%,1%,,,,
Da Investigação às Práticas,fct.invep,fct,fctco,264,49%,23%,13%,6%,24%,24%,0%,,,,
Revista Portuguesa de Cirurgia,fct.spcir,fct,fctco,220,49%,23%,11%,10%,24%,23%,1%,,,,
Revista Portuguesa de Educação Musical,ivuw.rpem,ivuw,fctco,34,44%,19%,18%,10%,23%,24%,0%,,,,
Revista Portuguesa de Hipertensão e Risco Cardiovascular,ivuw.rphrc,ivuw,fctco,158,46%,22%,15%,7%,23%,23%,0%,,,,
DIGITUMA,fct.umadeira,fct,fctco,389,47%,26%,11%,6%,23%,22%,1%,,,,
Repositório Aberto,fct.uab,fct,fctco,435,47%,25%,11%,6%,23%,23%,0%,,,,
PROA-UA,fct.uaveiro,fct,fctco,6367,46%,20%,14%,9%,23%,23%,0%,,,,
Scientific Letters,twku.noeseh,twku,fctco,348,47%,22%,12%,10%,23%,23%,0%,,,,
Anais IHMT,fct.anaisihmt,fct,fctco,437,47%,21%,14%,6%,23%,23%,0%,,,,
Revista Saber & Educar,fct.esepf,fct,fctco,266,50%,21%,10%,8%,23%,23%,0%,,,,
Bracara Augusta – Revista Cultural da Câmara Municipal de Braga,ivuw.rba-cmb,ivuw,fctco,136,45%,17%,17%,10%,23%,,,,,,
Nação e Defesa,ivuw.ndef,ivuw,fctco,19,59%,16%,11%,0%,23%,,,,,,
Universidade Católica Portuguesa,fct.ucp,fct,fctco,10000,42%,20%,16%,10%,22%,23%,-1%,,,,
UTAD,xvkwutad.tqsrtu,xvkwutad,fctco,38,43%,34%,6%,0%,22%,21%,2%,,,,
IPS - Instituto Politécnico de Setúbal,ivuw.ipset,ivuw,fctco,365,46%,22%,13%,4%,22%,22%,0%,,,,
Revista Servir,ivuw.servir,ivuw,fctco,222,47%,22%,13%,4%,22%,22%,0%,,,,
RIA-UA,mlde.ria,mlde,fctco,571,46%,31%,6%,0%,22%,22%,0%,,,,
Universidade de Lisboa / Instituto Superior de  Ciências Sociais e Políticas,qwbt.ulisboa-iscsp,qwbt,fctco,16,47%,31%,6%,0%,22%,18%,4%,,,,
Revista Portuguesa de Otorrinolaringologia-Cirurgia de Cabeça e Pescoço,fct.sporl,fct,fctco,937,52%,17%,13%,3%,22%,22%,0%,,,,
RC-LUSIADAS SAUDE,ivuw.lusiadas,ivuw,fctco,186,44%,21%,13%,7%,22%,22%,0%,,,,
Revistas SARC,fct.sarc,fct,fctco,10000,46%,22%,11%,4%,22%,22%,0%,,,,
Universidade de Lisboa / Faculdade de Belas Artes,qwbt.ulisboa-fba1,qwbt,fctco,183,51%,25%,6%,0%,22%,21%,1%,,,,
Instituto Politécnico de Bragança,fct.ipbraganca,fct,fctco,575,51%,20%,10%,2%,22%,21%,0%,,,,
Instituto Politécnico do Porto,fct.ipporto,fct,fctco,4973,48%,20%,10%,5%,21%,21%,0%,,,,
Revista Portuguesa de Oncologia,ivuw.spo,ivuw,fctco,18,47%,22%,11%,0%,21%,21%,0%,,,,
DUNAS-UA,mlde.dunas,mlde,fctco,453,53%,17%,11%,0%,21%,21%,0%,,,,
Wise Thorough / Urban Creativity Journals,ivuw.ap2-uxuc,ivuw,fctco,494,48%,22%,10%,0%,21%,21%,0%,,,,
Análise Social,ivuw.asocial,ivuw,fctco,2268,48%,22%,10%,0%,21%,21%,0%,,,,
Angiologia e Cirurgia Vascular,ivuw.acv,ivuw,fctco,432,46%,22%,11%,0%,21%,21%,0%,,,,
Instituto Superior Politécnico Gaya,ivuw.ispgaya,ivuw,fctco,54,45%,28%,6%,0%,21%,21%,0%,,,,
APEDUC Journal,xvkwutad.qsoqry,xvkwutad,fctco,100,46%,22%,11%,0%,21%,21%,0%,,,,
APEDUC Journal,xvkwutad.qsoqry,xvkwutad,fctco,100,46%,22%,11%,0%,21%,21%,0%,,,,
Universidade Portucalense,fct.uportucalense,fct,fctco,292,46%,19%,10%,5%,21%,19%,1%,,,,
Repositório Científico Lusófona,ivuw.ulusof,ivuw,fctco,2463,46%,21%,9%,1%,21%,20%,0%,,,,
REVISTA CIENTÍFICA PROELIUM,ivuw.proelium,ivuw,fctco,63,50%,19%,9%,0%,20%,21%,-1%,,,,
Revista Portuguesa de Educação Artística,fct.rpea,fct,fctco,199,50%,16%,11%,3%,20%,20%,0%,,,,
Oftalmologia,ivuw.ftnrfw,ivuw,fctco,607,46%,19%,10%,3%,20%,20%,0%,,,,
Dados.IPB,ivuw.ipbdados,ivuw,fctco,13,53%,13%,11%,0%,20%,20%,0%,,,,
Práticas da História,ivuw.phistoria,ivuw,fctco,248,46%,20%,10%,0%,20%,20%,0%,,,,
POLEN,ivuw.polen,ivuw,fctco,80,52%,13%,12%,0%,20%,19%,1%,,,,
Cadernos BAD,ivuw.bad,ivuw,fctco,1121,46%,22%,7%,1%,20%,20%,0%,,,,
Universidade do Algarve,fct.ualg,fct,fctco,511,44%,21%,9%,3%,20%,18%,2%,,,,
Universidade da Beira Interior,fct.ubi,fct,fctco,608,46%,24%,6%,0%,20%,20%,0%,,,,
BioData Management Portal,fct.biodata,fct,fctco,819,53%,12%,11%,0%,20%,20%,0%,,,,
DataRepositoriUM,fct.uminho,fct,fctco,794,52%,12%,11%,0%,20%,20%,0%,,,,
"International Journal of Tourism, Travel and  Hospitality Law",ivuw.ijtthl,ivuw,fctco,29,43%,25%,6%,0%,20%,20%,0%,,,,
Quadrante – Revista de Investigação em Educação Matemática,ivuw.quadrante,ivuw,fctco,493,45%,18%,11%,0%,20%,20%,0%,,,,
Universidade Nova de Lisboa,fct.unl,fct,fctco,1722,47%,21%,6%,5.81E-05,19%,20%,0%,,,,
Revista Portuguesa de Musicologia,ivuw.rpmns,ivuw,fctco,422,49%,17%,6%,1%,19%,32%,-13%,,,,
Lusíada - Repositório das Universidades Lusíada,fct.ulusiada,fct,fctco,2429,42%,23%,7%,2%,19%,19%,0%,,,,
Repositório Científico do LNEG,fct.lneg,fct,fctco,407,46%,20%,6%,0%,19%,17%,1%,,,,
Universidade de Lisboa / Faculdade de Medicina,qwbt.ulisboa-fm,qwbt,fctco,9,44%,19%,6%,1%,18%,16%,2%,,,,
Revista Comunicando,ivuw.revcom,ivuw,fctco,130,41%,20%,6%,0%,18%,20%,-3%,,,,
ISCPSI - Instituto Superior de Ciências Policiais e Segurança Interna,ivuw.iscpsi,ivuw,fctco,117,41%,19%,6%,0%,17%,17%,1%,,,,
Repositório Cientifico do LNEC,fct.lnec,fct,fctco,107,46%,13%,6%,0%,17%,17%,0%,,,,
EducA,ivuw.educa,ivuw,fctco,97,43%,14%,6%,0%,16%,,,,,,
INESC TEC,fct.inesc-tec,fct,fctco,155,44%,13%,6%,0%,16%,15%,1%,,,,
Academia das Ciências de Lisboa,ivuw.acl,ivuw,fctco,709,41%,15%,6%,0%,16%,15%,1%,,,,
FCT - Arquivo de Ciência e Tecnologia,fct.act,fct,fctco,12,42%,11%,6%,0%,15%,15%,0%,,,,
International Journal on Working Conditions,fct.ricot,fct,fctco,182,39%,7%,6%,0%,13%,13%,0%,,,,
APFH - Associação Portuguesa de Farmacêuticos Hospitalares,ivuw.apfh,ivuw,fctco,1,40%,6%,6%,0%,13%,,,,,,
CiencIPCA,ivuw.ipca,ivuw,fctco,14,40%,6%,6%,0%,13%,13%,0%,,,,
SUNY Upstate Medical University,suny.figshare,suny,fsco,32,78%,39%,17%,10%,37%,38%,0%,,,,
Chapman University,chapmn.figshare,chapmn,fsco,10,73%,37%,20%,10%,36%,36%,0%,,,,
Flinders University,figshare.flinders,figshare,fsco,537,74%,34%,17%,10%,35%,34%,1%,,,,
Media Design School,mds.figshare,mds,fsco,104,72%,31%,17%,10%,34%,34%,0%,,,,
University of Wollongong,uow.figshare,uow,fsco,1675,70%,32%,18%,10%,33%,33%,0%,,,,
Figshare+,figshare.plus,figshare,fsco,675,72%,28%,18%,10%,33%,33%,0%,,,,
ReDATA,figshare.ariz,figshare,fsco,818,73%,27%,18%,10%,33%,33%,0%,,,,
YorkSJ,figshare.yorksj,figshare,fsco,747,73%,28%,17%,10%,33%,32%,1%,,,,
WESLEYAN,figshare.wesleyan,figshare,fsco,171,72%,29%,17%,10%,33%,33%,0%,,,,
"City, University of London",figshare.city,figshare,fsco,441,71%,28%,17%,10%,32%,32%,0%,,,,
Northumbria,figshare.northumb,figshare,fsco,829,73%,26%,17%,10%,32%,32%,0%,,,,
AgResearch,agres.figshare,agres,fsco,4204,71%,28%,17%,10%,32%,32%,0%,,,,
University of Rochester,roche.figshare,roche,fsco,1055,72%,28%,16%,10%,32%,32%,1%,,,,
Nelson Mandela University,figshare.nmu,figshare,fsco,27,71%,26%,17%,10%,32%,32%,0%,,,,
Cary Institute,figshare.caryies,figshare,fsco,531,70%,27%,17%,10%,32%,31%,0%,,,,
Singapore Institute of Technology,figshare.sittech,figshare,fsco,1198,67%,29%,17%,10%,32%,32%,-1%,,,,
Stellenbosch University (SUN),figshare.sun,figshare,fsco,489,70%,24%,19%,10%,32%,31%,0%,,,,
University of KwaZulu-Natal(UKZN),figshare.ukzn,figshare,fsco,31,70%,25%,17%,10%,31%,31%,1%,,,,
ARTS London,figshare.arts,figshare,fsco,2563,72%,24%,17%,10%,31%,32%,0%,,,,
Figshare ORCID,figshare.orcid,figshare,fsco,2011,66%,28%,17%,10%,31%,29%,2%,,,,
Victoria University of Wellington,figshare.vuw,figshare,fsco,3735,68%,23%,20%,10%,31%,31%,0%,,,,
University of Fort Hare,figshare.ufh,figshare,fsco,16,71%,23%,18%,10%,31%,,,,,,
Cape Peninsula University of Technology,figshare.cput,figshare,fsco,1324,70%,24%,17%,10%,31%,31%,0%,,,,
IOP Publishing,figshare.iop,figshare,fsco,58,66%,27%,17%,10%,31%,31%,0%,,,,
University of Pretoria,figshare.up,figshare,fsco,3478,70%,23%,17%,10%,31%,31%,0%,,,,
University of Cape Town (UCT),figshare.uct,figshare,fsco,10000,72%,22%,17%,10%,31%,31%,0%,,,,
Midwestern University,figshare.mwu,figshare,fsco,136,69%,23%,17%,10%,30%,30%,1%,,,,
Heel GmbH,heelgmbh.figshare,heelgmbh,fsco,111,69%,18%,22%,10%,30%,30%,0%,,,,
Hong Kong University,figshare.hku,figshare,fsco,5150,70%,22%,17%,10%,30%,30%,0%,,,,
North-West University,figshare.nwu,figshare,fsco,231,69%,23%,17%,10%,30%,30%,0%,,,,
RMIT,figshare.rmit,figshare,fsco,10000,69%,23%,17%,10%,30%,30%,0%,,,,
Sefako Makgatho Health Sciences University,figshare.smu-za,figshare,fsco,62,68%,20%,20%,10%,30%,29%,1%,,,,
University of Sussex,figshare.sussex,figshare,fsco,2770,70%,22%,17%,10%,30%,30%,0%,,,,
University of Newcastle Australia,uonau.figshare,uonau,fsco,11,56%,35%,15%,8%,30%,,,,,,
figshare ASHA Publications,figshare.asha,figshare,fsco,3722,65%,19%,22%,10%,30%,30%,0%,,,,
University of Johannesburg,figshare.uj,figshare,fsco,125,68%,21%,18%,10%,30%,30%,0%,,,,
GENETICS - Genetics Society of America (GSA),figshare.genetics,figshare,fsco,1683,66%,19%,21%,10%,30%,30%,0%,,,,
Moscow State University Of Psychology And Education,figshare.msupe,figshare,fsco,39,65%,21%,20%,10%,30%,30%,0%,,,,
G3 - Genetics Society of America (GSA),figshare.g3,figshare,fsco,2723,66%,19%,20%,10%,30%,30%,0%,,,,
University of Witwatersrand,wits.figshare,wits,fsco,102,67%,22%,17%,10%,30%,29%,1%,,,,
Council for Scientific and Industrial Research (CSIR),csir.figshare,csir,fsco,2,67%,22%,17%,10%,30%,,,,,,
Edge Hill University,figshare.edgehill,figshare,fsco,3866,67%,22%,17%,10%,29%,30%,0%,,,,
Singapore Management University,figshare.smu,figshare,fsco,443,68%,18%,19%,10%,29%,30%,0%,,,,
University of Western Cape,figshare.uwc,figshare,fsco,37,66%,23%,15%,10%,29%,29%,0%,,,,
UNISA,figshare.unisa,figshare,fsco,268,68%,19%,17%,10%,29%,31%,-2%,,,,
Ag Data Commons,usda.usda,usda,fsco,1937,60%,31%,15%,5%,29%,27%,2%,,,,
University of Malta,malta.figshare,malta,fsco,108,69%,15%,20%,10%,29%,28%,1%,,,,
International AIDS Vaccine Initiative,figshare.iavi,figshare,fsco,14,68%,17%,17%,10%,28%,29%,0%,,,,
Purdue,figshare.purdue,figshare,fsco,10000,67%,17%,17%,10%,28%,30%,-2%,,,,
LSU Health Shreveport,lsuhs.figshare,lsuhs,fsco,46,69%,16%,17%,10%,28%,27%,1%,,,,
DataShare: the Open Data Repository of Iowa State University,figshare.iastate,figshare,fsco,1426,67%,17%,17%,10%,28%,28%,0%,,,,
Figshare test Datacenter,figshare.test,figshare,fsco,17,63%,20%,17%,10%,28%,28%,0%,,,,
NIWA Sustainable Seas,niwa.figshare,niwa,fsco,1020,67%,17%,17%,10%,28%,28%,0%,,,,
Department of Homeland Security (DHS),figshare.dhs,figshare,fsco,2,67%,17%,17%,10%,28%,28%,0%,,,,
Health New Zealand,hnz.figshare,hnz,fsco,1276,68%,15%,17%,10%,28%,28%,0%,,,,
NYU Lang,nyulang.figshare,nyulang,fsco,164,67%,12%,20%,10%,28%,28%,0%,,,,
UL Research Institutes,ulrin.figshare,ulrin,fsco,234,67%,15%,17%,10%,28%,27%,1%,,,,
Amsterdam Institute for Advanced Metropolitan Solutions,figshare.ams,figshare,fsco,26,67%,18%,15%,10%,27%,27%,0%,,,,
Health Research Alliance,figshare.hra,figshare,fsco,1445,65%,16%,17%,10%,27%,27%,0%,,,,
Murdoch Childrens Research Institute (MCRI),figshare.mcri,figshare,fsco,971,64%,17%,17%,10%,27%,27%,0%,,,,
Royal College of Surgeons in Ireland,figshare.rcsi,figshare,fsco,2751,66%,15%,17%,10%,27%,27%,0%,,,,
AIP Publishing,aip.figshare,aip,fsco,10000,67%,13%,18%,10%,27%,27%,0%,,,,
National Science Foundation (NSF),figshare.nsf,figshare,fsco,70,66%,14%,17%,10%,27%,27%,0%,,,,
CTSNet | The Cardiothoracic Surgery Network,figshare.ctsnet,figshare,fsco,3985,66%,14%,17%,10%,27%,27%,0%,,,,
MUT,figshare.hungu-mut,figshare,fsco,621,66%,11%,20%,10%,27%,27%,0%,,,,
Cardiff Metropolitan University,figshare.cardiffm,figshare,fsco,2593,65%,15%,17%,10%,27%,27%,0%,,,,
American University of Bahrain,aubh.figshare,aubh,fsco,698,67%,13%,17%,10%,27%,27%,0%,,,,
The British Museum,figshare.bm,figshare,fsco,10000,65%,14%,17%,10%,27%,25%,2%,,,,
Pfizer,figshare.pfizer,figshare,fsco,265,66%,12%,18%,10%,27%,27%,0%,,,,
CISPA Helmholtz Center,cispa.figshare,cispa,fsco,2834,59%,19%,17%,10%,27%,27%,0%,,,,
BIMM University,bimm.figshare,bimm,fsco,8,67%,11%,18%,10%,27%,27%,0%,,,,
The Francis Crick Institute,figshare.crick,figshare,fsco,4524,66%,13%,17%,10%,27%,27%,0%,,,,
Utrecht University,figshare.uu,figshare,fsco,241,65%,14%,17%,10%,27%,27%,0%,,,,
Anglia Ruskin,figshare.aru,figshare,fsco,807,62%,15%,17%,10%,26%,27%,-1%,,,,
JACC: Journal of the American College of Cardiology,figshare.acc,figshare,fsco,2182,61%,11%,21%,10%,26%,26%,0%,,,,
Leeds Beckett University,figshare.lbuni,figshare,fsco,473,61%,16%,17%,10%,26%,26%,0%,,,,
Singapore University of Social Sciences,suss.figshare,suss,fsco,24,64%,12%,17%,10%,26%,27%,-1%,,,,
University of Leicester,figshare.lest,figshare,fsco,5033,63%,13%,17%,10%,26%,26%,0%,,,,
Frontiers,figshare.frontiers,figshare,fsco,185,62%,10%,19%,10%,26%,26%,-1%,,,,
University of Illinois Chicago,figshare.uic,figshare,fsco,10000,62%,11%,18%,10%,25%,26%,0%,,,,
U.S. Environmental Protection Agency,figshare.epa,figshare,fsco,7459,62%,12%,17%,10%,25%,25%,0%,,,,
Middlebury,middbr.figshare,middbr,fsco,899,62%,11%,17%,10%,25%,25%,0%,,,,
Walter Sisulu University,figshare.wsu,figshare,fsco,735,63%,10%,16%,10%,25%,25%,0%,,,,
Boehringer Ingelheim,boehinge.figshare,boehinge,fsco,103,61%,10%,17%,10%,25%,24%,1%,,,,
Southern Federal University (SFEDU),figshare.sfedu,figshare,fsco,14,67%,11%,11%,10%,25%,25%,0%,,,,
Future Science Group,figshare.fsg,figshare,fsco,6495,56%,8%,22%,10%,24%,25%,0%,,,,
MERCK,merck.figshare,merck,fsco,4,60%,8%,17%,10%,24%,,,,,,
figshare Academic Research System,figshare.ars,figshare,fsco,10000,58%,11%,16%,9%,24%,24%,0%,,,,
University of Oxford,figshare.oxford,figshare,fsco,10000,60%,6%,17%,10%,23%,23%,0%,,,,
Bayer AG,bayer.figshare,bayer,fsco,293,60%,6%,17%,10%,23%,,,,,,
Fontys University of Applied Sciences,figshare.fontys,figshare,fsco,1,60%,6%,17%,10%,23%,23%,0%,,,,
Appalachian State University,appstate.figshare,appstate,fsco,10000,53%,6%,17%,10%,21%,,,,,,
Dun Laoghaire Institute Of Art Design + Technology,iadt.figshare,iadt,fsco,89,53%,6%,17%,10%,21%,21%,0%,,,,
Rapid AI Platform for Innovating Data Science,mit.rapids,mit,gdccco,10,85%,66%,17%,0%,45%,44%,2%,,,,
University of the Basque Country Spain,ubcs.xftqdr,ubcs,gdccco,1,87%,22%,44%,10%,43%,,,,,,
Pendiente MOVER - MetaBiblioteca - Repositorio de Datos UDEA,meta.udea1,meta,gdccco,174,73%,11%,38%,10%,34%,31%,3%,,,,
Centro Internacional de Mejoramiento de Maíz y Trigo,cimmyt.cimmyt,cimmyt,gdccco,125,60%,21%,31%,10%,32%,32%,-1%,,,,
CORA.Repositori de Dades de Recerca,gdcc.csuc,gdcc,gdccco,4686,59%,29%,23%,4%,31%,26%,4%,,,,
Harvard Dataverse,gdcc.harvard-dv,gdcc,gdccco,10000,63%,12%,34%,9%,30%,29%,1%,,,,
Climateverse,harvardu.crisis,harvardu,gdccco,98,60%,12%,30%,10%,29%,29%,0%,,,,
Corporacion Ecuatoriana Para El Desarrollo De La Investigacion Y La Academia (CEDIA),cedia.cedia,cedia,gdccco,23,57%,32%,15%,3%,28%,28%,0%,,,,
Convergence and Open Sharing System for Bigdata,coss.bigdata,coss,gdccco,102,47%,50%,6%,0%,28%,28%,0%,,,,
Harvard  SBGrid,gdcc.harvard-sbgr,gdcc,gdccco,900,67%,17%,20%,0%,27%,27%,0%,,,,
Universidad del Valle de Guatemala Center for Studies in Applied Informatics,udvg.csai,udvg,gdccco,23,59%,5%,32%,10%,27%,,,,,,
SciELO - Scientific Electronic Library Online Dataverse,unifesp.scielo,unifesp,gdccco,7860,52%,15%,27%,9%,27%,21%,6%,,,,
Agencia Nacional de Investigación e Innovacion (ANII),anii.anii,anii,gdccco,71,59%,15%,24%,5%,27%,23%,4%,,,,
Syracuse University Qualitative Data Repository,gdcc.syr-qdr,gdcc,gdccco,10000,50%,15%,28%,10%,27%,25%,2%,,,,
Repositorio de Datos de Investigación,meta.meta,meta,gdccco,1246,60%,12%,23%,10%,27%,28%,-1%,,,,
UNC Libraries,gdcc.odum-library,gdcc,gdccco,10000,54%,26%,11%,9%,26%,25%,0%,,,,
Arizona State University Library,asu.asul,asu,gdccco,754,56%,17%,15%,1%,23%,23%,0%,,,,
Istituto Italiano di Tecnologia,iidt.iit,iidt,gdccco,42,54%,15%,13%,1%,22%,20%,1%,,,,
Repositorio de Datos Académicos Universidad Nacional de Rosario,undr.undr,undr,gdccco,1176,53%,17%,11%,0%,21%,21%,0%,,,,
RACO (Revistes Catalanes amb Accés Obert),csuc.raco,csuc,gdccco,2890,46%,21%,11%,4%,21%,21%,0%,,,,
Kyiv Academic University,srik.kau,srik,gdccco,158,53%,17%,11%,0%,21%,21%,0%,,,,
University of Campinas,gdcc.unicamp,gdcc,gdccco,6784,52%,16%,11%,0%,21%,21%,0%,,,,
Yale University Library,yale.xutdzp,yale,gdccco,10000,53%,15%,11%,0%,21%,21%,0%,,,,
Nanyang Technological University Research Data Repository,gdcc.ntu,gdcc,gdccco,3444,52%,16%,11%,0%,21%,20%,0%,,,,
UNC Dataverse,gdcc.odum-dv,gdcc,gdccco,4621,52%,8%,16%,3%,20%,18%,2%,,,,
Florida Gulf Coast University Library,fgcu.unqanf,fgcu,gdccco,20,53%,9%,11%,0%,19%,19%,0%,,,,
Johns Hopkins Research Data Repository,gdcc.jhu,gdcc,gdccco,6368,49%,8%,11%,0%,18%,17%,1%,,,,
World Agroforestry Centre - ICRAF Dataverse,gdcc.icraf,gdcc,gdccco,3596,51%,5%,10%,0%,17%,17%,0%,,,,
Lingnan Dataverse,lnhk.enlsxk,lnhk,gdccco,57,53%,0%,11%,0%,16%,16%,0%,,,,
PhysioNet,mit.physio,mit,gdccco,961,49%,5%,6%,0%,15%,15%,0%,,,,
National Sleep Research Resource,gdcc.harvard-slp,gdcc,gdccco,51,40%,8%,6%,0%,14%,14%,0%,,,,
Ecosistema de Publicaciones en Acceso Abierto Universidad de los Andes,udlac.mvbgxo,udlac,gdccco,2000,40%,6%,6%,0%,13%,26%,-12%,,,,
