Repository Name,Repository_ID,Provider,Consortium,Number of Records,Text,Identifiers,Connections,Contacts,Total,2025-05,Change,,,,
University of Tasmania,ardcx.utas,ardcx,ardc,10000,56%,9%,16%,9%,23%,22%,1%,,,,
University of Wollongong,ardcx.uow,ardcx,ardc,31,48%,26%,8%,5%,22%,22%,0%,,,,
University of Southern Queensland research data collection,ardcx.usq,ardcx,ardc,1083,58%,20%,6%,1%,22%,22%,0%,,,,
University of New England,ardcx.une,ardcx,ardc,530,52%,12%,16%,3%,22%,22%,0%,,,,
The University of Western Australia,uniwa.repo,uniwa,ardc,3949,46%,29%,6%,2.53E-05,21%,21%,1%,,,,
HMInfo,ardcx.hminfo,ardcx,ardc,62,52%,12%,17%,0%,21%,21%,0%,,,,
Phenomics Australia,apn.repo,apn,ardc,8,40%,33%,6%,0%,21%,,,,,,
James Cook University,jcu.repo,jcu,ardc,2713,47%,27%,6%,2%,21%,21%,0%,,,,
Agriculture Victoria,ardcx.victoria,ardcx,ardc,18,60%,10%,11%,0%,21%,21%,0%,,,,
Australian Institute of Health and Welfare,ardcx.aihw,ardcx,ardc,269,49%,24%,6%,0%,21%,21%,0%,,,,
Charles Darwin University,cdu.repo,cdu,ardc,1220,49%,22%,6%,0%,20%,20%,0%,,,,
AIMS Data Repository,ardcx.aims,ardcx,ardc,34,45%,25%,6%,0%,20%,20%,0%,,,,
Australian Catholic University,ardcx.acu,ardcx,ardc,1167,53%,12%,10%,1%,20%,19%,0%,,,,
GlobalArchive,uniwa.archive,uniwa,ardc,2,60%,11%,6%,0%,20%,20%,0%,,,,
"Department of Biodiversity, Conservation and Attractions",dbca.repo,dbca,ardc,106,46%,11%,17%,0%,20%,19%,0%,,,,
National Computational Infrastructure,ardcx.nci,ardcx,ardc,1000,45%,19%,8%,2%,19%,20%,0%,,,,
University of New South Wales,unsw.repo,unsw,ardc,10000,49%,12%,6%,10%,19%,20%,-1%,,,,
Office of the Independent Implementation Supervisor,djag.repo,djag,ardc,4,50%,14%,7%,3%,19%,19%,0%,,,,
Swinburne University of Technology,swin.repo1,swin,ardc,29,49%,13%,8%,4%,19%,19%,0%,,,,
Victoria University,ardcx.vu,ardcx,ardc,117,40%,16%,9%,7%,18%,18%,0%,,,,
University of South Australia,ardcx.unisa,ardcx,ardc,704,44%,20%,6%,0%,18%,14%,4%,,,,
"Department of Agriculture, Water and Environment",ardcx.doe,ardcx,ardc,24,46%,18%,6%,0%,18%,18%,0%,,,,
"NSW Department of Planning, Industry and Environment",ardcx.oeh,ardcx,ardc,74,47%,17%,6%,0%,18%,18%,0%,,,,
New South Wales Department of Primary Industries,nswdpi.repo,nswdpi,ardc,1147,47%,17%,6%,0%,18%,,,,,,
Bond University,ardcx.bond,ardcx,ardc,134,50%,12%,7%,0%,18%,18%,0%,,,,
University of Canberra Research Portal,ardcx.uc,ardcx,ardc,1476,41%,19%,6%,0%,17%,16%,1%,,,,
Bureau of Meteorology,ardcx.bom,ardcx,ardc,4,53%,6%,7%,0%,17%,17%,0%,,,,
Australian Ocean Data Network,ardcx.aodn,ardcx,ardc,183,44%,11%,6%,0%,16%,16%,0%,,,,
Research Repository,ardcx.rmit,ardcx,ardc,11,45%,9%,6%,0%,15%,14%,1%,,,,
ARDC Shared Repository,ardcx.ardc2,ardcx,ardc,12,41%,7%,9%,2%,15%,15%,0%,,,,
Atlas of Living Australia,ala.repo,ala,ardc,10000,40%,6%,11%,0%,15%,15%,0%,,,,
Alveo,ardcx.alveo,ardcx,ardc,1,47%,6%,6%,0%,15%,15%,0%,,,,
TERN Central Portal,ardcx.tern,ardcx,ardc,784,41%,6%,9%,0%,15%,15%,0%,,,,
Australian Policy Online,smf.repo,smf,ardc,1488,40%,7%,8%,0%,14%,14%,0%,,,,
Queensland University of Technology,ardcx.qut1,ardcx,ardc,500,39%,10%,6%,0%,14%,14%,0%,,,,
Curtin University Research Data Collection,ardcx.curtin,ardcx,ardc,2838,40%,7%,6%,0%,13%,13%,0%,,,,
University of Sydney Library,ardcx.usyd,ardcx,ardc,2078,37%,7%,6%,1%,13%,13%,0%,,,,
Australian Research Data Commons,ardcx.ardc,ardcx,ardc,1,40%,6%,6%,0%,13%,13%,0%,,,,
PARADISEC,pdsc.repo,pdsc,ardc,10000,33%,11%,6%,0%,13%,13%,0%,,,,
Australian Antarctic Division,aad.repo,aad,ardc,2356,40%,4%,6%,0%,13%,13%,0%,,,,
Australian Synchrotron,ardcx.as,ardcx,ardc,39,33%,6%,6%,0%,11%,11%,0%,,,,
MeRC - Store.Monash,monash.store,monash,ardc,1,40%,0%,6%,0%,11%,11%,0%,,,,
Institute for Future Environments,ardcx.qut2,ardcx,ardc,13,33%,5%,6%,0%,11%,11%,0%,,,,
University of Bath,bl.bath,bl,blco,824,78%,79%,40%,37%,61%,61%,0%,,,,
University of Leeds,bl.leeds,bl,blco,1507,73%,67%,25%,9%,47%,46%,0%,,,,
Kingston University repository,bdeb.pure,bdeb,blco,2,77%,69%,14%,10%,45%,,,,,,
NERC Environmental Data Service,bl.nerc,bl,blco,5692,78%,44%,32%,22%,45%,44%,1%,,,,
Clinical Practice Research Datalink,wljs.nslvyb,wljs,blco,185,76%,42%,31%,24%,44%,42%,2%,,,,
White Rose Research Online,lxkc.wrro-lds,lxkc,blco,291,70%,66%,17%,9%,43%,41%,2%,,,,
Health Data Research Innovation Gateway,puzp.gpqfmm,puzp,blco,1,67%,44%,17%,40%,41%,39%,2%,,,,
Central Lancashire Online Knowledge,zavk.uclan,zavk,blco,1,67%,39%,17%,40%,39%,39%,0%,,,,
UKAEA Open Data,mykg.vnpmwf,mykg,blco,210,68%,47%,20%,10%,38%,39%,-1%,,,,
Curtain,qxco.curtain,qxco,blco,1,60%,56%,17%,10%,38%,36%,2%,,,,
OpenAIR@RGU,ukev.openair,ukev,blco,425,65%,50%,17%,10%,37%,37%,1%,,,,
Rothamsted Research,bl.rothres,bl,blco,693,78%,20%,34%,8%,37%,36%,0%,,,,
University of Strathclyde,bl.strath,bl,blco,1788,67%,17%,33%,30%,36%,36%,0%,,,,
Helix,urks.helix,urks,blco,2,80%,39%,11%,10%,36%,,,,,,
Leeds Medieval Studies Journal,lxkc.gszjaz,lxkc,blco,37,66%,48%,12%,9%,36%,34%,2%,,,,
Abertay Datasets,avqt.hxlqvd,avqt,blco,40,67%,41%,17%,10%,35%,33%,2%,,,,
Coventry University Data Repository,ipyx.hvvrmz,ipyx,blco,25,58%,27%,30%,23%,35%,34%,0%,,,,
Discovery,bl.dundee,bl,blco,741,64%,42%,18%,6%,34%,34%,0%,,,,
University of Salford,bl.salford,bl,blco,2916,72%,29%,21%,10%,34%,33%,1%,,,,
